sq_mt_built,floor,buy_price,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
64.0,3.0,85000,1,0,1960.0,1,0,0,0,0,0,0,0,0.1526878378378378
70.0,4.0,129900,1,1,1970.0,0,1,0,1,0,0,0,0,0.1888532608695652
94.0,1.0,144247,1,0,1970.0,0,1,0,0,0,1,0,0,0.1902237442922374
64.0,0.0,109900,1,0,1955.0,0,0,0,0,0,1,0,0,0.1902237442922374
108.0,4.0,260000,1,0,2003.0,1,1,0,0,0,1,1,1,0.2095736842105263
126.0,3.0,195000,1,0,1981.0,0,0,0,1,1,0,0,1,0.1902237442922374
120.0,1.0,190000,1,0,1970.0,1,1,0,1,1,1,1,1,0.1902237442922374
125.0,2.0,198500,1,0,1970.0,1,1,0,1,0,0,0,0,0.1739828358208955
84.0,4.0,212000,1,0,1970.0,1,1,0,0,0,1,1,1,0.1739828358208955
85.0,7.0,131400,1,1,1950.0,0,0,0,1,0,0,0,0,0.2095736842105263
69.0,2.0,118000,1,1,1963.0,0,0,0,1,0,0,0,0,0.1902237442922374
122.0,6.0,246900,1,0,1970.0,1,1,0,0,0,1,1,1,0.1739828358208955
123.0,4.0,195000,1,0,1992.0,1,1,0,0,0,0,0,0,0.2095736842105263
109.0,3.0,205000,1,0,1983.0,0,1,0,1,0,1,0,0,0.1888532608695652
64.0,3.0,72000,1,0,1960.0,0,0,0,1,0,0,0,0,0.1526878378378378
115.0,3.0,160000,1,0,1970.0,1,0,0,1,0,1,0,0,0.2095736842105263
115.0,1.0,184900,1,0,1970.0,1,0,0,1,0,0,0,0,0.1739828358208955
65.0,4.0,90000,1,0,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
75.0,3.0,129900,1,1,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
60.0,0.0,94900,1,0,1970.0,1,1,0,0,0,0,0,0,0.1739828358208955
60.0,2.0,89900,1,0,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
95.0,4.0,144900,1,0,1970.0,1,0,0,0,0,0,0,0,0.1739828358208955
76.0,2.0,110000,1,1,1970.0,0,0,0,1,0,0,0,0,0.1739828358208955
51.0,0.0,93000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1902237442922374
134.0,2.0,130000,1,0,1970.0,0,0,0,0,0,0,0,0,0.1902237442922374
62.0,2.0,104000,1,0,1970.0,0,0,0,1,0,0,0,0,0.1902237442922374
