actual,predict,difference,diff%
85000,119074.77,-34074.7734375,40.08796875
129900,127904.7,1995.296875,1.5360253079291764
144247,178472.72,-34225.71875,23.727161570084647
109900,118701.914,-8801.9140625,8.009020984986352
260000,288167.88,-28167.875,10.833798076923076
195000,190614.33,4385.671875,2.2490625
190000,295635.72,-105635.71875,55.597746710526316
198500,220792.14,-22292.140625,11.230297544080605
212000,206224.27,5775.734375,2.724403007075472
131400,177090.23,-45690.234375,34.7718678652968
118000,112357.96,5642.0390625,4.781389036016949
246900,269054.53,-22154.53125,8.973078675577156
195000,298792.28,-103792.28125,53.2268108974359
205000,210357.64,-5357.640625,2.613483231707317
72000,103484.34,-31484.34375,43.72825520833333
160000,226987.5,-66987.5,41.8671875
184900,200399.97,-15499.96875,8.382892779881017
90000,116772.734,-26772.734375,29.74748263888889
129900,112678.74,17221.2578125,13.2573193321786
94900,110897.46,-15997.4609375,16.857176962592202
89900,107093.125,-17193.125,19.124721913236932
144900,181216.58,-36316.578125,25.06320091442374
110000,109736.68,263.3203125,0.23938210227272727
93000,97729.77,-4729.7734375,5.085777889784946
130000,254735.67,-124735.671875,95.95051682692308
104000,113826.086,-9826.0859375,9.448159555288461
138000,150339.92,-12339.921875,8.941972373188406
280000,234209.5,45790.5,16.35375
150000,126577.516,23422.484375,15.614989583333333
145900,129318.664,16581.3359375,11.364863562371488
92500,174867.53,-82367.53125,89.04597972972972
298000,295311.66,2688.34375,0.9021287751677853
99900,123277.23,-23377.2265625,23.40062718968969
138000,176935.73,-38935.734375,28.21430027173913
100000,132781.0,-32781.0,32.781
131400,114167.99,17232.0078125,13.11416119672755
96000,108340.24,-12340.2421875,12.854418945312501
154000,117514.336,36485.6640625,23.691989650974026
146700,157750.98,-11050.984375,7.533050017041582
92500,139292.45,-46792.453125,50.58643581081081
275000,295849.1,-20849.09375,7.581488636363637
83800,150510.45,-66710.453125,79.6067459725537
266122,236496.22,29625.78125,11.132405907816716
228273,224051.55,4221.453125,1.8493002348065692
171900,179647.98,-7747.984375,4.507262579988365
228273,316861.84,-88588.84375,38.808288211921685
85000,117593.72,-32593.71875,38.345551470588234
298000,295386.6,2613.40625,0.8769819630872483
139000,151806.19,-12806.1875,9.2130845323741
272500,322847.34,-50347.34375,18.476089449541284
275000,331276.97,-56276.96875,20.464352272727275
289000,386816.2,-97816.1875,33.846431660899654
115000,113468.18,1531.8203125,1.3320176630434781
179000,201654.9,-22654.90625,12.656372206703912
123000,97320.36,25679.640625,20.877756605691054
89500,110905.57,-21405.5703125,23.91683833798883
289000,307485.5,-18485.5,6.396366782006921
216278,234350.53,-18072.53125,8.356157930996218
207503,236301.52,-28798.515625,13.878602056355813
162793,187914.52,-25121.515625,15.431569923153942
204999,232075.42,-27076.421875,13.208075100366342
220879,230250.31,-9371.3125,4.242735841795734
218258,228034.52,-9776.515625,4.479338958938504
231855,252366.02,-20511.015625,8.846484063315433
163397,188937.86,-25540.859375,15.6311678763992
160759,182863.6,-22104.59375,13.750143848866939
217169,228693.16,-11524.15625,5.306538341107617
165208,191276.7,-26068.703125,15.779322505568738
219775,230832.7,-11057.703125,5.031374417017404
230817,250201.02,-19384.015625,8.398001717811079
213722,232289.36,-18567.359375,8.687621945798748
230749,321738.72,-90989.71875,39.432335026370644
233789,253395.7,-19606.703125,8.386495140917665
230789,239203.73,-8414.734375,3.64607254895164
244171,257466.55,-13295.546875,5.44517853266768
243468,257466.55,-13998.546875,5.749645487291964
244798,257466.55,-12668.546875,5.175102278204887
219235,245535.39,-26300.390625,11.996437897689693
242789,261085.39,-18296.390625,7.535922395578052
130000,166072.11,-36072.109375,27.747776442307693
251569,235369.42,16199.578125,6.439417465983488
235402,229938.42,5463.578125,2.320956544549324
235172,235015.77,156.234375,0.06643408866701818
236227,232922.48,3304.515625,1.3988729590605646
254710,251727.1,2982.90625,1.1710989949354167
159000,246297.28,-87297.28125,54.90395047169812
272500,346249.94,-73749.9375,27.064197247706424
85000,139807.16,-54807.15625,64.47900735294118
94000,134189.39,-40189.390625,42.75467087765957
175000,214571.86,-39571.859375,22.612491071428572
268000,271208.6,-3208.59375,1.197236473880597
156000,189780.0,-33780.0,21.653846153846153
183159,316925.66,-133766.65625,73.033078500101
210000,290197.2,-80197.1875,38.1891369047619
85000,105210.71,-20210.7109375,23.777306985294118
159900,175467.67,-15567.671875,9.735879846779238
117000,157977.56,-40977.5625,35.02355769230769
110000,99365.9,10634.1015625,9.667365056818182
100000,106355.71,-6355.7109375,6.3557109375000005
140000,198960.73,-58960.734375,42.114810267857145
106500,137333.3,-30833.296875,28.951452464788733
127500,185026.45,-57526.453125,45.11878676470588
148000,206461.6,-58461.59375,39.50107685810811
205000,280095.4,-75095.40625,36.63190548780488
220000,218529.0,1471.0,0.6686363636363636
114000,65886.78,48113.21875,42.20457785087719
89900,102855.67,-12955.671875,14.411203420467187
210000,204487.98,5512.015625,2.624769345238095
145000,166480.02,-21480.015625,14.813803879310344
275000,238595.61,36404.390625,13.237960227272726
104000,141486.33,-37486.328125,36.04454627403847
228629,248050.11,-19421.109375,8.494595775251607
169021,198772.44,-29751.4375,17.602213630258962
223022,235965.61,-12943.609375,5.803736570831577
220072,233764.02,-13692.015625,6.221607303518848
235718,238208.98,-2490.984375,1.0567645979517897
245000,211961.83,33038.171875,13.484968112244896
260000,364223.25,-104223.25,40.08586538461538
235000,239222.47,-4222.46875,1.7967952127659577
235000,229602.28,5397.71875,2.296901595744681
265000,288235.72,-23235.71875,8.76819575471698
190000,202596.73,-12596.734375,6.629860197368422
256115,235206.0,20909.0,8.16391074322082
261989,268417.06,-6428.0625,2.453561981609915
273353,259874.77,13478.234375,4.930706586355372
297621,306413.1,-8792.09375,2.9541241209457665
279778,264920.84,14857.15625,5.31033757121718
135000,145208.9,-10208.90625,7.562152777777778
195000,166343.86,28656.140625,14.69545673076923
126900,123150.97,3749.03125,2.9543193459416863
136400,111397.23,25002.7734375,18.330479059750733
145000,135947.48,9052.515625,6.243114224137931
127500,158568.8,-31068.796875,24.36768382352941
179000,216967.55,-37967.546875,21.210920041899442
266122,258709.89,7412.109375,2.7852298475887
261989,251994.28,9994.71875,3.8149383180209857
297621,346516.72,-48895.71875,16.428853726719552
251569,273478.97,-21909.96875,8.709327758984612
113500,124319.055,-10819.0546875,9.532206773127754
138000,152822.61,-14822.609375,10.741021286231884
225000,251323.48,-26323.484375,11.69932638888889
264000,382370.22,-118370.21875,44.8372040719697
98260,122239.445,-23979.4453125,24.404076239059638
275000,312492.1,-37492.09375,13.633488636363635
124000,181998.7,-57998.703125,46.77314768145162
164513,159560.89,4952.109375,3.010162950648277
164416,147896.7,16519.296875,10.047256273720318
165435,168648.1,-3213.09375,1.9422091758092304
202629,177521.67,25107.328125,12.390787165213272
164242,151764.33,12477.671875,7.5971261157316645
260000,318963.9,-58963.90625,22.67842548076923
294900,284587.72,10312.28125,3.4968739403187525
319900,302082.97,17817.03125,5.569562753985621
259900,243722.36,16177.640625,6.224563534051558
285900,274162.16,11737.84375,4.105576687653026
289900,278811.97,11088.03125,3.824777940669196
249900,223025.98,26874.015625,10.75390781312525
273352,269732.22,3619.78125,1.3242197788931487
104900,110573.555,-5673.5546875,5.408536403717826
155000,158085.98,-3085.984375,1.9909576612903226
100000,127140.555,-27140.5546875,27.1405546875
210000,224959.39,-14959.390625,7.123519345238096
240000,267101.97,-27101.96875,11.292486979166666
257000,272338.53,-15338.53125,5.9683000972762645
84000,129737.28,-45737.28125,54.449144345238096
314000,356474.84,-42474.84375,13.52702030254777
107000,132925.8,-25925.796875,24.229716705607476
325000,402126.66,-77126.65625,23.73127884615385
89000,110643.836,-21643.8359375,24.318916783707863
284900,302614.6,-17714.59375,6.217828624078623
135000,192184.27,-57184.265625,42.358715277777776
230000,280205.47,-50205.46875,21.828464673913043
163000,153971.69,9028.3125,5.5388420245398775
185000,178067.08,6932.921875,3.7475253378378377
80000,102925.59,-22925.59375,28.656992187500002
84000,95222.76,-11222.7578125,13.360425967261905
119900,109940.33,9959.671875,8.306648769808174
154900,164826.23,-9926.234375,6.408156471917366
119900,117842.93,2057.0703125,1.7156549728940782
79900,101935.234,-22035.234375,27.578516113892366
79900,107093.125,-27193.125,34.033948685857325
129900,146723.16,-16823.15625,12.950851616628176
99900,107596.234,-7696.234375,7.703938313313313
275000,316579.16,-41579.15625,15.11969318181818
91500,145593.11,-54093.109375,59.11815232240437
129000,138188.53,-9188.53125,7.122892441860465
86860,108621.52,-21761.5234375,25.05356140628598
105000,117237.79,-12237.7890625,11.655037202380953
216000,256482.17,-40482.171875,18.741746238425925
120000,192857.27,-72857.265625,60.71438802083333
135000,147296.1,-12296.09375,9.108217592592592
212000,225387.2,-13387.203125,6.31471845518868
184000,190863.48,-6863.484375,3.7301545516304344
160000,151794.53,8205.46875,5.12841796875
299990,402186.3,-102196.3125,34.066573052435075
117000,126820.85,-9820.8515625,8.393890224358975
165000,158905.9,6094.09375,3.6933901515151515
95000,93657.266,1342.734375,1.413404605263158
106000,89574.664,16425.3359375,15.495599941037735
229000,201893.33,27106.671875,11.83697461790393
155000,204268.03,-49268.03125,31.78582661290323
228208,277681.16,-49473.15625,21.67897543030919
100000,194490.64,-94490.640625,94.490640625
140000,129165.2,10834.796875,7.739140625
105000,113429.23,-8429.2265625,8.027834821428572
165000,136969.44,28030.5625,16.988219696969697
73000,119202.19,-46202.1875,63.29066780821918
159000,169016.8,-10016.796875,6.299872248427672
135990,213932.7,-77942.703125,57.31502546143099
210000,282415.5,-72415.5,34.48357142857143
198000,162409.44,35590.5625,17.975031565656565
139900,167451.02,-27551.015625,19.69336356325947
110000,120397.875,-10397.875,9.452613636363637
160000,215472.67,-55472.671875,34.670419921875
103000,128995.32,-25995.3203125,25.238175060679612
100000,139243.66,-39243.65625,39.24365625
90000,116772.734,-26772.734375,29.74748263888889
154900,204345.55,-49445.546875,31.92094698192382
82260,98276.16,-16016.15625,19.470163202042304
139400,144181.16,-4781.15625,3.4298107962697277
154900,236087.11,-81187.109375,52.41259481923822
155000,227734.5,-72734.5,46.925483870967746
88000,102124.484,-14124.484375,16.050550426136365
225000,186527.14,38472.859375,17.09904861111111
189000,179690.19,9309.8125,4.92582671957672
138000,182545.17,-44545.171875,32.279110054347825
195000,218227.16,-23227.15625,11.91136217948718
222000,254307.61,-32307.609375,14.552977195945946
80500,125223.875,-44723.875,55.55760869565217
182000,140679.88,41320.125,22.703365384615385
295000,270699.16,24300.84375,8.237574152542374
270000,233668.56,36331.4375,13.456087962962963
116100,158289.77,-42189.765625,36.33916074504737
250000,276576.6,-26576.59375,10.630637499999999
79900,114264.24,-34364.2421875,43.00906406445557
99000,127042.53,-28042.53125,28.32578914141414
74550,107560.65,-33010.6484375,44.279877179745135
105000,84328.23,20671.7734375,19.687403273809522
130000,189148.77,-59148.765625,45.499050480769235
120000,139113.27,-19113.265625,15.927721354166666
149000,146481.78,2518.21875,1.690079697986577
135000,141164.16,-6164.15625,4.566041666666667
230000,164965.45,65034.546875,28.27588994565217
91000,103576.3,-12576.296875,13.820106456043957
184900,228358.34,-43458.34375,23.503701325040563
127000,141997.86,-14997.859375,11.809338090551181
83900,107037.71,-23137.7109375,27.577724597735397
180000,288147.25,-108147.25,60.081805555555555
76000,112948.88,-36948.8828125,48.616951069078944
163000,190959.7,-27959.703125,17.153192101226995
280000,416152.28,-136152.28125,48.62581473214286
180000,194749.02,-14749.015625,8.193897569444445
128000,113856.586,14143.4140625,11.049542236328126
166200,144735.62,21464.375,12.91478640192539
114300,113703.54,596.4609375,0.5218380905511811
129000,148556.2,-19556.203125,15.159847383720932
132000,130928.73,1071.2734375,0.8115707859848486
135000,131137.64,3862.359375,2.8610069444444446
99000,107862.52,-8862.5234375,8.952043876262627
114300,111441.945,2858.0546875,2.5004852909011372
88000,104723.34,-16723.34375,19.003799715909093
110000,140121.98,-30121.984375,27.38362215909091
146000,148879.73,-2879.734375,1.9724208047945206
112000,136969.89,-24969.890625,22.294545200892856
59000,101189.055,-42189.0546875,71.50687235169492
146000,112555.805,33444.1953125,22.906983090753425
275000,365088.72,-90088.71875,32.75953409090909
178000,329472.97,-151472.96875,85.09717345505618
129000,148556.2,-19556.203125,15.159847383720932
96000,146639.53,-50639.53125,52.74951171875
82000,101649.26,-19649.2578125,23.962509527439025
126900,126113.69,786.3125,0.6196315996847912
199000,182647.17,16352.828125,8.217501570351757
232000,192556.2,39443.796875,17.001636584051724
240000,135619.3,104380.703125,43.49195963541666
330000,268370.34,61629.65625,18.67565340909091
120000,110183.46,9816.5390625,8.180449218749999
172000,229438.89,-57438.890625,33.39470385174418
82260,107093.125,-24833.125,30.188578896182833
109000,113301.87,-4301.8671875,3.946667144495413
133000,213617.36,-80617.359375,60.61455592105263
111000,117235.54,-6235.5390625,5.617602759009009
110000,104302.414,5697.5859375,5.179623579545455
179990,194852.64,-14862.640625,8.25748131840658
156000,149490.36,6509.640625,4.17284655448718
228000,169977.45,58022.546875,25.448485471491228
89000,133500.02,-44500.015625,50.00001755617978
119000,119057.87,-57.8671875,0.048627888655462186
