sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,house_type_id,is_renewal_needed,built_year,has_ac,has_fitted_wardrobes,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,has_green_zones,has_parking,distr_coef
64.0,2,1.0,3.0,85000,1328,1,0,1960.0,1,0,0,0,0,0,0,0,0,0.1526878378378378
70.0,3,1.0,4.0,129900,1856,1,1,1970.0,0,1,0,0,1,0,0,0,0,0.1888532608695652
94.0,2,2.0,1.0,144247,1535,1,0,1970.0,0,1,0,0,0,0,1,0,0,0.1902237442922374
64.0,2,1.0,0.0,109900,1717,1,0,1955.0,0,0,0,0,0,0,1,0,0,0.1902237442922374
108.0,2,2.0,4.0,260000,2407,1,0,2003.0,1,1,0,1,0,0,1,1,1,0.2095736842105263
126.0,4,2.0,3.0,195000,1548,1,0,1981.0,0,0,0,0,1,1,0,0,1,0.1902237442922374
120.0,5,2.0,1.0,190000,1583,1,0,1970.0,1,1,0,1,1,1,1,1,1,0.1902237442922374
125.0,3,2.0,2.0,198500,1588,1,0,1970.0,1,1,0,0,1,0,0,0,0,0.1739828358208955
84.0,3,2.0,4.0,212000,2524,1,0,1970.0,1,1,0,1,0,0,1,1,1,0.1739828358208955
85.0,2,1.0,7.0,131400,1546,1,1,1950.0,0,0,0,0,1,0,0,0,0,0.2095736842105263
69.0,2,2.0,2.0,118000,1710,1,1,1963.0,0,0,0,0,1,0,0,0,0,0.1902237442922374
122.0,3,2.0,6.0,246900,2024,1,0,1970.0,1,1,0,1,0,0,1,1,1,0.1739828358208955
123.0,3,2.0,4.0,195000,1585,1,0,1992.0,1,1,0,0,0,0,0,0,0,0.2095736842105263
109.0,3,2.0,3.0,205000,1881,1,0,1983.0,0,1,0,0,1,0,1,0,0,0.1888532608695652
64.0,3,1.0,3.0,72000,1125,1,0,1960.0,0,0,0,0,1,0,0,0,0,0.1526878378378378
115.0,3,1.0,3.0,160000,1391,1,0,1970.0,1,0,0,0,1,0,1,0,0,0.2095736842105263
115.0,3,1.0,1.0,184900,1608,1,0,1970.0,1,0,0,0,1,0,0,0,0,0.1739828358208955
65.0,3,1.0,4.0,90000,1385,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
75.0,3,1.0,3.0,129900,1732,1,1,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
60.0,2,1.0,0.0,94900,1582,1,0,1970.0,1,1,0,0,0,0,0,0,0,0.1739828358208955
60.0,2,1.0,2.0,89900,1498,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
95.0,4,2.0,4.0,144900,1525,1,0,1970.0,1,0,0,0,0,0,0,0,0,0.1739828358208955
76.0,3,1.0,2.0,110000,1447,1,1,1970.0,0,0,0,0,1,0,0,0,0,0.1739828358208955
51.0,2,1.0,0.0,93000,1824,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1902237442922374
134.0,3,2.0,2.0,130000,970,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1902237442922374
62.0,2,1.0,2.0,104000,1677,1,0,1970.0,0,0,0,0,1,0,0,0,0,0.1902237442922374
75.0,3,1.0,3.0,138000,1840,1,0,1984.0,1,1,0,0,1,0,0,0,1,0.1902237442922374
112.0,4,2.0,2.0,280000,2500,1,0,1970.0,0,1,0,1,0,0,1,1,1,0.1739828358208955
65.0,3,1.0,1.0,150000,2308,1,1,1976.0,0,1,0,1,0,0,0,0,0,0.2095736842105263
70.0,2,1.0,3.0,145900,2084,1,0,1968.0,1,1,0,0,1,1,0,0,0,0.1902237442922374
75.0,1,1.0,1.0,92500,1233,1,0,2008.0,1,1,0,0,0,1,0,0,0,0.1902237442922374
123.0,3,2.0,7.0,298000,2423,1,0,2002.0,1,1,0,1,0,0,1,0,1,0.2095736842105263
61.0,3,1.0,2.0,99900,1638,1,0,1970.0,1,0,0,0,1,0,0,0,0,0.1902237442922374
72.0,2,1.0,3.0,138000,1917,1,0,1970.0,1,1,0,0,0,1,0,0,1,0.1739828358208955
61.0,3,1.0,5.0,100000,1639,1,0,1966.0,0,0,0,0,0,1,0,0,0,0.2200382716049383
71.0,3,1.0,1.0,131400,1851,1,1,1980.0,0,0,0,0,1,0,0,0,0,0.1902237442922374
87.0,3,1.0,2.0,96000,1103,1,1,1970.0,1,0,0,0,1,0,0,0,0,0.1739828358208955
60.0,2,1.0,4.0,154000,2567,1,0,1970.0,1,1,0,0,1,0,0,0,0,0.1902237442922374
78.0,4,1.0,2.0,146700,1881,1,0,1970.0,0,1,0,0,0,0,0,0,0,0.1888532608695652
52.0,1,1.0,1.0,92500,1779,1,0,1970.0,1,0,0,0,0,0,0,0,0,0.2095736842105263
125.0,3,3.0,7.0,275000,2200,2,0,2004.0,1,0,0,1,1,0,1,0,0,0.2200382716049383
75.0,0,1.0,1.0,83800,1117,1,0,2008.0,1,1,0,0,1,1,0,0,0,0.1902237442922374
97.0,2,2.0,0.0,266122,2744,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
93.0,2,2.0,7.0,228273,2455,1,0,8170.0,0,0,0,1,1,0,0,1,0,0.2200382716049383
103.0,4,2.0,1.0,171900,1669,1,0,1970.0,0,0,0,0,0,0,1,0,0,0.1888532608695652
83.0,2,2.0,7.0,228273,2750,3,0,2020.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
45.0,2,1.0,1.0,85000,1889,1,1,1968.0,0,0,0,0,0,1,0,0,0,0.2095736842105263
120.0,3,2.0,7.0,298000,2483,1,0,1970.0,1,1,0,1,0,0,1,0,1,0.2095736842105263
74.0,3,1.0,1.0,139000,1878,1,0,1970.0,0,1,0,0,0,0,1,0,0,0.1888532608695652
125.0,3,2.0,7.0,272500,2180,2,0,2004.0,0,1,0,1,1,0,1,1,0,0.2200382716049383
126.0,4,2.0,0.0,275000,2183,1,0,1970.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
158.0,3,2.0,4.0,289000,1829,3,0,2003.0,1,1,0,1,1,0,1,1,1,0.2200382716049383
65.0,2,1.0,4.0,115000,1769,1,0,1970.0,0,0,0,0,0,0,0,0,0,0.1739828358208955
108.0,3,2.0,4.0,179000,1657,1,0,1978.0,0,1,0,0,1,0,0,0,0,0.1888532608695652
62.0,2,1.0,0.0,123000,1984,1,0,1984.0,1,0,0,0,0,0,0,0,0,0.1739828358208955
51.0,2,1.0,3.0,89500,1755,1,1,1967.0,0,0,0,0,1,0,0,0,0,0.2095736842105263
112.0,3,2.0,3.0,289000,2580,1,0,2013.0,1,1,0,1,0,0,1,1,1,0.2200382716049383
109.0,3,2.0,2.0,216278,1984,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
107.0,3,2.0,1.0,207503,1939,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
76.0,2,2.0,3.0,162793,2142,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
105.0,3,2.0,1.0,204999,1952,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
109.0,3,2.0,4.0,220879,2026,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
108.0,3,2.0,4.0,218258,2021,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
109.0,3,2.0,0.0,231855,2127,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
76.0,2,2.0,4.0,163397,2150,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
76.0,2,2.0,2.0,160759,2115,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
108.0,3,2.0,3.0,217169,2011,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
76.0,2,2.0,5.0,165208,2174,1,0,8170.0,0,0,0,1,0,0,1,0,1,0.2200382716049383
109.0,3,2.0,3.0,219775,2016,1,0,8170.0,0,0,0,1,1,0,1,0,1,0.2200382716049383
